ICC,upper bound,lower bound,variable,gap,sample
0.757663298363223,0.798941661840233,0.709293623586902,SRS,six-mo,both
0.558044910831242,0.626101451026075,0.481568625666934,SRS_AWR,six-mo,both
0.69800351323448,0.748054008408028,0.640045216321673,SRS_COG,six-mo,both
0.765918479991275,0.80597024453846,0.718888815242419,SRS_COM,six-mo,both
0.760305687550168,0.801188357897081,0.712371170363276,SRS_MOT,six-mo,both
0.614678111681728,0.675827026022371,0.545142670513864,SRS_RRB,six-mo,both
0.257496175340876,0.351771184742044,0.158278483499161,SRS_1,six-mo,both
0.4687739392927,0.546580000178843,0.382962661587595,SRS_2,six-mo,both
0.541062331897412,0.611081707423444,0.46266008535012,SRS_3,six-mo,both
0.284983240889608,0.378328676247494,0.185917501379091,SRS_4,six-mo,both
0.338350196272741,0.427729624748564,0.242463368758229,SRS_5,six-mo,both
0.613719636115721,0.674951667538408,0.544119551709016,SRS_6,six-mo,both
0.416170766879802,0.499056375944512,0.32575870454743,SRS_7,six-mo,both
0.439152836654868,0.519880312414688,0.350670294012945,SRS_8,six-mo,both
0.236416139338127,0.332268113190024,0.135887662837494,SRS_9,six-mo,both
0.363962448083103,0.451207011069035,0.269896376919954,SRS_10,six-mo,both
0.670663578525213,0.724443261499009,0.608784801159946,SRS_11,six-mo,both
0.628098924299644,0.687669518163111,0.560085685325732,SRS_12,six-mo,both
0.475203860660579,0.552354908897133,0.39000030320534,SRS_13,six-mo,both
0.553374884294743,0.621957233499373,0.476381966604771,SRS_14,six-mo,both
0.514490489856014,0.587479547639251,0.433217015204977,SRS_15,six-mo,both
0.587758849305379,0.652260278548592,0.514824299916053,SRS_16,six-mo,both
0.342161657441267,0.431075463508638,0.246756926335383,SRS_17,six-mo,both
0.690034076282104,0.741170594346978,0.630936296107431,SRS_18,six-mo,both
0.399795186397239,0.48402168558752,0.308286556526729,SRS_19,six-mo,both
0.436963504836505,0.517832956892661,0.348392550704229,SRS_20,six-mo,both
0.374723289006339,0.465429469584159,0.274774173756752,SRS_21,six-mo,both
0.460062495337322,0.538735965813154,0.37345607658142,SRS_22,six-mo,both
0.550290808577356,0.619248954491208,0.472927664315776,SRS_23,six-mo,both
0.445731722464687,0.525822983722721,0.357825871324969,SRS_24,six-mo,both
0.415695398102784,0.498498765587764,0.32542992573113,SRS_25,six-mo,both
0.625283520452551,0.685523740876984,0.556383186636787,SRS_26,six-mo,both
0.572648140543886,0.638976634990975,0.4978850381841,SRS_27,six-mo,both
0.348562336358918,0.437227573710047,0.253207720483346,SRS_28,six-mo,both
0.559575452384016,0.627452620077166,0.483276242971236,SRS_29,six-mo,both
0.580886341399893,0.646223509190653,0.507113298746878,SRS_30,six-mo,both
0.562242150526583,0.629805818280447,0.486252850156417,SRS_31,six-mo,both
0.633256866313246,0.692019458738103,0.566173888576338,SRS_32,six-mo,both
0.575821565633794,0.641769637114796,0.501437760486262,SRS_33,six-mo,both
0.567953853736193,0.634780617562219,0.492729055228576,SRS_34,six-mo,both
0.543466932448496,0.613211450687026,0.465333064865685,SRS_35,six-mo,both
0.584504967032117,0.649403169257447,0.511171852039604,SRS_36,six-mo,both
0.617757716453984,0.678512718945262,0.548620786939161,SRS_37,six-mo,both
0.483124691975743,0.559458699517606,0.398683448378757,SRS_38,six-mo,both
0.297665117194348,0.39013936948015,0.199263451156401,SRS_39,six-mo,both
0.57769228563587,0.643396165253253,0.503563471103253,SRS_40,six-mo,both
0.329230272601552,0.419086608803976,0.233090502714779,SRS_41,six-mo,both
0.566336722458267,0.633416168177594,0.490827411509429,SRS_42,six-mo,both
0.606965960794535,0.669088086139774,0.536438092474383,SRS_43,six-mo,both
0.266770479237272,0.36131386390598,0.16681455883123,SRS_44,six-mo,both
0.374320793876362,0.46088876149756,0.280715394096118,SRS_45,six-mo,both
0.473720040428399,0.551022900568987,0.388375358175885,SRS_46,six-mo,both
0.36997652252835,0.456908346174848,0.276063082472257,SRS_47,six-mo,both
0.519361186137222,0.591815195255417,0.438601081935278,SRS_48,six-mo,both
0.425394385223456,0.507420021311364,0.33574959378067,SRS_49,six-mo,both
0.525583480432489,0.597347883037237,0.445487636372305,SRS_50,six-mo,both
0.453703667594547,0.532854223894983,0.366746080463631,SRS_51,six-mo,both
0.447722879423281,0.527439309320002,0.360256769531795,SRS_52,six-mo,both
0.672183915989078,0.72575606688748,0.610524232126253,SRS_53,six-mo,both
0.155083858891967,0.255428921996427,0.0514843371962373,SRS_54,six-mo,both
0.286103621321105,0.378670052201736,0.188061591470181,SRS_55,six-mo,both
0.349317447988029,0.437931921392355,0.253999034664346,SRS_56,six-mo,both
0.644602752096647,0.701879065855988,0.579060531038194,SRS_57,six-mo,both
0.397706912901834,0.482028488714415,0.306166397834539,SRS_58,six-mo,both
0.515861805976659,0.588700647314717,0.434732282232983,SRS_59,six-mo,both
0.620114494679728,0.680573978520503,0.551277063875067,SRS_60,six-mo,both
0.41904831457991,0.501668989290879,0.328870941597283,SRS_61,six-mo,both
0.414893782212222,0.497896480591237,0.324378196596707,SRS_62,six-mo,both
0.258597838682447,0.353658118966168,0.158266982152534,SRS_63,six-mo,both
0.55988525620809,0.627726066617688,0.4836219600816,SRS_64,six-mo,both
0.633630338108256,0.692344355835978,0.566597556549552,SRS_65,six-mo,both
