ICC,upper bound,lower bound,variable,gap,sample
0.732347780755917,0.781672238578917,0.67393988861367,SRS,six-mo,Online
0.552926638674557,0.628224238183802,0.467394956344054,SRS_AWR,six-mo,Online
0.678739387543813,0.736443474901002,0.61124694828998,SRS_COG,six-mo,Online
0.748550612852716,0.795233166465585,0.693067906999226,SRS_COM,six-mo,Online
0.731830387017346,0.781238157618666,0.67333086906008,SRS_MOT,six-mo,Online
0.594832213923302,0.664595033082265,0.514815046951575,SRS_RRB,six-mo,Online
0.187047482845488,0.294695558937495,0.0751176282543204,SRS_1,six-mo,Online
0.460932932778019,0.54721145047126,0.364990635552972,SRS_2,six-mo,Online
0.530841586791095,0.608922962915907,0.442599831285289,SRS_3,six-mo,Online
0.253255978134311,0.358194415547019,0.14202291566216,SRS_4,six-mo,Online
0.357776764525397,0.454179681844898,0.253191653741423,SRS_5,six-mo,Online
0.620814890042575,0.686959910676798,0.544494005914543,SRS_6,six-mo,Online
0.412792785682531,0.50416457105191,0.312310251506192,SRS_7,six-mo,Online
0.434906242027697,0.523994826185704,0.336432987076663,SRS_8,six-mo,Online
0.226312161945999,0.332265691388521,0.11496059482929,SRS_9,six-mo,Online
0.334074994447498,0.432418966064421,0.228015069733919,SRS_10,six-mo,Online
0.64927113509332,0.711355798521688,0.577156766016349,SRS_11,six-mo,Online
0.62151762827454,0.687536839174895,0.545348922888977,SRS_12,six-mo,Online
0.43974486974371,0.528321055005526,0.341728508122684,SRS_13,six-mo,Online
0.53816898406787,0.615229473261828,0.450981465097475,SRS_14,six-mo,Online
0.511505492450623,0.59194800487761,0.421001022700595,SRS_15,six-mo,Online
0.58003791522687,0.651792321618527,0.498017887744223,SRS_16,six-mo,Online
0.389803037245573,0.483368231845641,0.287486073377998,SRS_17,six-mo,Online
0.709135839470895,0.762141465858613,0.646709295685723,SRS_18,six-mo,Online
0.408362353039304,0.49988009428712,0.307945746138652,SRS_19,six-mo,Online
0.446619924757586,0.534460174490924,0.349263442218994,SRS_20,six-mo,Online
0.41741956549565,0.513586192921456,0.308779863770422,SRS_21,six-mo,Online
0.430422291083471,0.519981615277387,0.331531173223263,SRS_22,six-mo,Online
0.532390177729145,0.610279373626263,0.44433407050466,SRS_23,six-mo,Online
0.441048449505374,0.529307707658934,0.343431286631995,SRS_24,six-mo,Online
0.438352914419341,0.527076974453775,0.340204479311266,SRS_25,six-mo,Online
0.624108494687632,0.690191429436987,0.54755272172623,SRS_26,six-mo,Online
0.566327276718362,0.639890810263307,0.482505774001808,SRS_27,six-mo,Online
0.367987383345634,0.463557175548406,0.264023764856457,SRS_28,six-mo,Online
0.546302670934217,0.622444908127071,0.459944025695947,SRS_29,six-mo,Online
0.56351794166894,0.637447602934345,0.479334123684293,SRS_30,six-mo,Online
0.55960337431282,0.634041222431839,0.474917539940934,SRS_31,six-mo,Online
0.651067204061981,0.712889246972138,0.579227973659481,SRS_32,six-mo,Online
0.575884187497221,0.648127189418088,0.493416589891639,SRS_33,six-mo,Online
0.566134812162128,0.639646156547187,0.482414134410805,SRS_34,six-mo,Online
0.539215718189752,0.616252145579032,0.451986202145719,SRS_35,six-mo,Online
0.577822639399952,0.649871740573144,0.495507986047502,SRS_36,six-mo,Online
0.619525058185482,0.685825219045372,0.54306598433031,SRS_37,six-mo,Online
0.486099409381054,0.569535428537998,0.39277678547791,SRS_38,six-mo,Online
0.241097697068876,0.34685633812147,0.129308767863446,SRS_39,six-mo,Online
0.610568626490087,0.678168276004144,0.5327494550578,SRS_40,six-mo,Online
0.338066864283748,0.435828737305273,0.232619015808164,SRS_41,six-mo,Online
0.612279453776509,0.679641157244498,0.534703459789911,SRS_42,six-mo,Online
0.589468865107259,0.659958413148042,0.508718507702374,SRS_43,six-mo,Online
0.282627969704054,0.3854583199464,0.17288924645179,SRS_44,six-mo,Online
0.383929661406998,0.478136109996599,0.281017780646043,SRS_45,six-mo,Online
0.487108323412461,0.570427833714257,0.393894277278751,SRS_46,six-mo,Online
0.371298303068088,0.466693119758339,0.267391560957056,SRS_47,six-mo,Online
0.51559747070887,0.595546264149632,0.425563315303539,SRS_48,six-mo,Online
0.407138999138743,0.499079055454649,0.306163424639213,SRS_49,six-mo,Online
0.543891346974079,0.620338997130792,0.457234673343215,SRS_50,six-mo,Online
0.451575347432077,0.538783510044484,0.354851902300614,SRS_51,six-mo,Online
0.447552559572317,0.535101017540573,0.350562632818287,SRS_52,six-mo,Online
0.674524507309355,0.73286254720034,0.606364032527347,SRS_53,six-mo,Online
0.138551765552063,0.249746394112524,0.0238351517800761,SRS_54,six-mo,Online
0.238633108105766,0.343645908406802,0.12801036620597,SRS_55,six-mo,Online
0.35727514494504,0.453951847220263,0.252312292083358,SRS_56,six-mo,Online
0.643135587008969,0.706112929973688,0.57008830079147,SRS_57,six-mo,Online
0.379734046404471,0.47396874385383,0.277039164407792,SRS_58,six-mo,Online
0.497891863783183,0.579953846044761,0.405855527825448,SRS_59,six-mo,Online
0.61234331363239,0.679650163500638,0.534849460029777,SRS_60,six-mo,Online
0.423804110923705,0.514051015628683,0.324305957509089,SRS_61,six-mo,Online
0.40917817266564,0.500913997227506,0.308379457309528,SRS_62,six-mo,Online
0.229465968335523,0.335980398109634,0.117179384655456,SRS_63,six-mo,Online
0.523092656258259,0.602118717159429,0.433948188415399,SRS_64,six-mo,Online
0.6530677930945,0.714574715577662,0.581573592530171,SRS_65,six-mo,Online
