"","Source","ParticipantID","Study_ID","ID","z_long_string","z_irv","z_psychsyn","z_evenodd","Exclude"
"1","Conte","CP0002","CC0046","QT001",-0.591329209662582,-0.586495280340768,-0.136785291713554,2.08386422193183,1
"2","Conte","CP0003","CC0111","QT006",-0.441108627868946,0.125458520281216,-0.421672956479721,-0.402090623460868,0
"3","OD_R01","CP0004","R01_0094 / R01_0011","QT014",-0.441108627868946,-1.01187927108883,-0.644000018316455,-0.912787921275419,0
"4","CPC","CP0005","CP0005","QT015",-0.29088804607531,0.770408627451409,1.32396242934379,-0.19014756693429,0
"5","Conte","CP0008","CC0041","QT022",1.51175893544832,1.37985898713512,1.44905889961286,0.776561690039029,0
"6","CPC","CP0009","CP0009","QT028",1.51175893544832,1.79234466623407,1.69040568544786,NA,0
"7","CPC","CP0010","CP0010","QT030",-0.140667464281674,0.89348070342165,1.09711108265685,2.08386422193183,1
"8","CPC","CP0011","CP0011","QT032",-0.29088804607531,0.364263861694722,0.509511656216695,-0.696631229682621,0
"9","CPC","CP0012","CP0012","QT036",0.00955311751196184,1.55705849352623,0.847147396567183,-0.633708760380391,0
"10","CPC","CP0013","CP0013","QT041",-0.140667464281674,0.682000281758291,-0.719800993819986,-0.429854276457208,0
"11","CPC","CP0014","CP0014","QT044",1.51175893544832,1.37985898713513,1.69040568544786,NA,0
"12","CPC","CP0015","CP0015","QT049",-0.140667464281674,0.323103475069877,0.253959124638896,0.233399388061769,0
"13","CPC","CP0016","CP0016","QT051",-0.140667464281674,-1.33082637712318,-1.90886822107874,0.00646386512182031,0
"14","CPC","CP0017","CP0017","QT052",-0.591329209662582,0.796325249650993,-0.90560557369777,1.73359380977434,0
"15","CPC","CP0018","CP0018","QT053",-0.441108627868946,0.472008371487957,0.230592541872568,-0.30429964825038,0
"16","CPC","CP0019","CP0019","QT055",-0.441108627868946,-1.32904743201112,-1.71526373305421,-0.822056101981257,0
"17","CPC","CP0020","CP0020","QT056",-0.591329209662582,-0.479258428376564,1.22617481041712,-0.873688986229523,0
"18","CPC","CP0021","CP0021","QT058",5.5677146438765,-3.40394874043201,NA,0.645326870142164,1
"19","CPC","CP0022","CP0022","QT060",-0.441108627868946,-0.174440464342567,NA,2.08386422193183,1
"20","CPC","CP0023","CP0023","QT062",-0.441108627868946,-0.102758853660682,0.42884550122553,0.935396800367571,0
"21","CPC","CP0024","CP0024","QT064",0.760656026480142,-0.0705517719240445,0.964120371043242,1.25154022442696,0
"22","CPC","CP0025","CP0025","QT065",-0.29088804607531,0.688599785556841,1.53208870608352,2.08386422193183,1
"23","CPC","CP0026","CP0026","QT066",1.36153835365469,0.587604445742425,1.18643329763014,-0.403548815050632,0
"24","CPC","CP0027","CP0027","QT068",1.51175893544832,-0.509000994372698,-1.41050516388171,-0.788612124992775,0
"25","CPC","CP0028","CP0028","QT069",-0.441108627868946,0.562891120717974,1.27790981730948,-0.79181943937377,0
"26","CPC","CP0029","CP0029","QT071",0.159773699305598,-0.294314402348635,-0.830700953746328,-0.534785568775283,0
"27","CPC","CP0030","CP0030","QT072",-0.29088804607531,0.581998141614154,-0.226054346278249,-0.965036470751988,0
"28","CPC","CP0031","CP0031","QT074",0.00955311751196184,0.276829367692633,-1.61101998417269,-0.585398436909835,0
"29","CPC","CP0032","CP0032","QT077",0.00955311751196184,0.237328211854958,-1.83507340770101,-0.891580701282129,0
"30","CPC","CP0033","CP0033","QT081",0.910876608273778,0.525597470872323,0.583617756242483,-0.557368736084141,0
"31","CPC","CP0034","CP0034","QT084",0.159773699305598,0.0385310168516619,0.98309451076591,2.08386422193183,1
"32","CPC","CP0035","CP0035","QT085",1.51175893544832,1.36915695765895,-0.69015649142949,1.96290038172324,0
"33","CPC","CP0036","CP0036","QT086",8.72234686154285,-4.59430094283554,NA,-0.635255911597019,1
"34","CPC","CP0037","CP0037","QT087",1.51175893544832,1.53246430841442,1.69040568544786,NA,0
"35","CPC","CP0038","CP0038","QT088",0.309994281099234,0.641119518155187,NA,2.08386422193183,1
"36","CPC","CP0039","CP0039","QT090",-0.29088804607531,0.823189894223174,1.69040568544786,-0.881090662545981,0
"37","CPC","CP0040","CP0040","QT092",-0.29088804607531,0.281595641152391,0.854889676130683,-0.441896806234899,0
"38","CPC","CP0041","CP0041","QT093",-0.29088804607531,0.861642598844977,-0.627746956360985,2.08386422193183,1
"39","CPC","CP0042","CP0042","QT095",1.36153835365469,-0.0220314823255669,0.279709587228025,2.08386422193183,1
"40","CPC","CP0043","CP0043","QT096",1.51175893544832,1.68783386638966,1.05204533774911,NA,0
"41","CPC","CP0044","CP0044","QT099",-0.140667464281674,-0.416237264970796,1.09580504754853,0.414605382166553,0
"42","CPC","CP0045","CP0045","QT101",0.00955311751196184,0.609969268651174,1.84918967132086,0.473138280278413,0
"43","CPC","CP0046","CP0046","QT102",0.910876608273778,0.451334159726466,0.183912478963606,-0.0100426228522739,0
"44","CPC","CP0047","CP0047","QT103",0.760656026480142,0.509693598902538,-0.116621838426486,2.08386422193183,1
"45","CPC","CP0048","CP0048","QT104",0.00955311751196184,-0.572031842275202,1.09580504754853,0.246703211511964,0
"46","CPC","CP0049","CP0049","QT106",-0.591329209662582,1.22624577036155,0.826971919645977,2.08386422193183,1
"47","CPC","CP0050","CP0050","QT107",0.610435444686506,0.414369302191038,0.12554533235649,-0.816432356953218,0
"48","CPC","CP0051","CP0051","QT108",-0.29088804607531,-0.424585052886409,0.677984328895424,-0.955873308865845,0
"49","CPC","CP0052","CP0052","QT109",-0.140667464281674,-0.91117146983524,-0.0198563209702154,0.399990106601648,0
"50","CPC","CP0053","CP0053","QT111",0.159773699305598,0.388796903647161,-0.583183344705925,-0.928686677597781,0
"51","CPC","CP0054","CP0054","QT112",1.51175893544832,0.373624067862999,-0.544493403429611,-0.473616186275763,0
"52","CPC","CP0055","CP0055","QT113",1.51175893544832,0.769326050592387,0.831929766300383,0.708097728495403,0
"53","CPC","CP0056","CP0056","QT116",0.00955311751196184,-0.448328394494334,1.27790981730948,-0.0790347474660345,0
"54","CPC","CP0057","CP0057","QT119",1.51175893544832,1.07461665275094,1.84918967132086,0.812071721894891,0
"55","CPC","CP0058","CP0058","QT121",-0.441108627868946,0.989985788321112,0.182545839071019,0.308547135117531,0
"56","CPC","CP0059","CP0059","QT122",0.159773699305598,1.30059792890001,1.84918967132086,2.08386422193183,1
"57","CPC","CP0060","CP0060","QT124",-0.29088804607531,0.07598378442585,0.783623124067259,-0.911915259512108,0
"58","CPC","CP0061","CP0061","QT125",-0.140667464281674,-0.622884318275489,1.24467400399461,-0.742948739809895,0
"59","CPC","CP0062","CP0062","QT126",-0.441108627868946,0.429419079131355,0.110012998426033,0.431250252851716,0
"60","CPC","CP0063","CP0063","QT127",-0.441108627868946,-0.653710786661259,1.51758869605567,-0.715983298869601,0
"61","CPC","CP0064","CP0064","QT128",-0.29088804607531,0.688599785556841,-1.09970263572772,-0.764652752851759,0
"62","CPC","CP0065","CP0065","QT129",0.00955311751196184,1.11137514908734,-1.08338433691234,-0.247197094984035,0
"63","CPC","CP0066","CP0066","QT131",0.309994281099234,0.861642598844978,0.53024639715449,-0.410543501728831,0
"64","CPC","CP0067","CP0067","QT133",0.159773699305598,0.204767255071483,0.810856911479622,-0.750530632364499,0
"65","CPC","CP0068","CP0068","QT135",-0.441108627868946,0.536927200181061,-1.27171029806737,0.32715943889027,0
"66","CPC","CP0069","CP0069","QT137",0.159773699305598,0.754146966608139,1.38230050426353,2.08386422193183,1
"67","CPC","CP0070","CP0070","QT139",-0.741549791456218,0.676494383123502,0.766688913808866,-0.743646386524765,0
"68","CPC","CP0071","CP0071","QT140",1.51175893544832,1.39345208759777,-0.536216090552257,2.08386422193183,1
"69","CPC","CP0072","CP0072","QT141",-0.441108627868946,-0.566261008460341,-0.429313370455471,0.165992000638519,0
"70","CPC","CP0073","CP0073","QT142",-0.140667464281674,-0.399591527025024,1.69040568544786,-0.812067183711383,0
"71","CPC","CP0074","CP0074","QT143",0.00955311751196184,0.312463568442554,0.250149518004947,1.67643030666682,0
"72","CPC","CP0075","CP0075","QT144",0.309994281099234,-0.102758853660685,0.34751162172059,2.08386422193183,1
"73","CPC","CP0076","CP0076","QT146",0.00955311751196184,-0.161321229556739,0.0324825268602973,-0.172876834624448,0
"74","CPC","CP0077","CP0077","QT147",-0.140667464281674,-0.310551036320014,0.84829340935611,-0.598928636720388,0
